POSTING DATE,EFFECTIVE DATE,CREATE DATE,Customer/Vendor Code,Customer/Vendor Name,LOB,Region,BP TYPE,City,STATE,From WhsCode,From WhsName,To whsCode,TO WhsName,Model TYPE,Transfer Type,U_Frt,U_ActShipType,PRODUCT CATEGORY,ItemCode,Description,QUANTITY,UNIT,RATE,SO ID,SO Creation Date,SO Due Date,U_DocStatus,U_SOTYPE,BP CATEGORY,Document Type,TRANSPORTER NAME,U_GRNNO,U_AssetClass,Customer Type,U_TRINPD
06-12-2019,06-12-2019,06-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,4000,Company Transport borne by Company,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,264,Nos,2060,2019/4,29-11-2019,10-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
06-12-2019,06-12-2019,06-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,3500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/4,29-11-2019,10-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
06-12-2019,06-12-2019,06-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,4000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/4,29-11-2019,10-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
06-12-2019,06-12-2019,06-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,3500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/4,29-11-2019,10-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
17-12-2019,17-12-2019,17-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,4000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,10-12-2019,17-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
30-12-2019,30-12-2019,30-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,4000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,10-12-2019,17-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
30-12-2019,30-12-2019,30-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,3500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,10-12-2019,17-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
30-12-2019,30-12-2019,30-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,3500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,10-12-2019,17-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
30-12-2019,30-12-2019,30-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,4000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,340,Nos,2060,2019/680,10-12-2019,17-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
30-12-2019,30-12-2019,30-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,3500,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,10-12-2019,17-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
31-12-2019,31-12-2019,31-12-2019,10000237,HCCL,FMCG,West,RENTAL,Ahmedabad,Gujarat,GJ02,Company India Kanera,10000237,HCCL,Allot,CompanyOUT,4000,Company Transport borne by customer,Wooden Pallet,A010000035,WP 1210 1200 x 1000 x 157 PL Pallet SW,318,Nos,2060,2019/680,10-12-2019,17-12-2019,C,Rent,Beverage,Allot,LOGISTICS TECK LLP,,Wooden Pallet,,
